id,nome,cpf,email,telefone,data_nascimento
23,A***** Neves,326.***.***-**,l***********@example.com,3854,1973-07-27
42,O*** Rosa,987.***.***-**,y********@example.org,0553,1973-11-25
186,B******* Vasconcelos,358.***.***-**,i*******@example.org,0440,1973-12-22
280,V**** Cardoso,106.***.***-**,p*********@example.net,7288,1973-12-24
310,D***** Cruz,089.***.***-**,m************@example.org,1762,1973-03-24
350,J*** Peixoto,162.***.***-**,c****************@example.org,4380,1973-11-26
415,A***** Nascimento,638.***.***-**,p*************@example.org,7121,1973-10-06
423,I****** Vieira,398.***.***-**,a************@example.com,1657,1973-05-07
428,G******** Martins,104.***.***-**,o********@example.org,1493,1973-10-28
434,I** Melo,204.***.***-**,a**********@example.net,2775,1973-12-23
547,O***** Peixoto,241.***.***-**,c**********@example.com,8353,1973-03-28
659,J****** Barros,473.***.***-**,v**************@example.com,0208,1973-06-06
689,D** Correia,134.***.***-**,a****************@example.net,9979,1973-12-02
721,C*** Sales,314.***.***-**,s********@example.net,4007,1973-03-27
736,C**** Peixoto,945.***.***-**,m***********@example.org,0894,1973-11-26
937,T*** Conceição,306.***.***-**,u****@example.net,0520,1973-06-01
976,N****** Fonseca,136.***.***-**,v**********@example.net,4721,1973-07-25
1034,R*** Teixeira,729.***.***-**,m********************@example.org,0413,1973-08-21
1074,S*** Mota,743.***.***-**,m*******@example.net,8450,1973-09-02
1113,A** Borges,039.***.***-**,g***********@example.com,6206,1973-12-21
1119,C******* Leão,261.***.***-**,p**@example.net,4140,1973-09-08
1157,L*** Fonseca,054.***.***-**,a**************@example.org,0374,1973-09-19
1171,P**** Mendes,605.***.***-**,p********@example.net,8966,1973-02-22
1187,E***** Cassiano,174.***.***-**,y*****@example.org,6310,1973-03-12
1192,S**** Mata,064.***.***-**,m******@example.net,6127,1973-03-09
1206,S**** Abreu,417.***.***-**,v*******@example.com,8414,1973-05-09
1232,L** Rocha,031.***.***-**,d*****************@example.net,4997,1973-11-09
1259,S*** Vieira,243.***.***-**,l******@example.org,0800,1973-10-29
1291,D*** Cruz,105.***.***-**,m**********@example.net,5711,1973-10-12
1315,H******* Novais,475.***.***-**,s*******@example.net,2708,1973-07-12
1403,B**** Andrade,549.***.***-**,l********@example.org,9826,1973-07-03
1422,G******** Castro,962.***.***-**,r*************@example.net,5754,1973-05-28
1477,R****** Freitas,750.***.***-**,l**********@example.net,2929,1973-10-19
1513,E******** Camargo,891.***.***-**,n**************@example.org,0912,1973-07-31
1572,H**** Cassiano,061.***.***-**,d*******************@example.net,6084,1973-06-21
1594,V****** Garcia,543.***.***-**,l***********@example.net,3872,1973-01-15
1595,M***** Aragão,845.***.***-**,l*******@example.com,4914,1973-04-28
1738,T***** Jesus,615.***.***-**,x******@example.com,9279,1973-07-05
1833,N****** Pimenta,598.***.***-**,a*********@example.net,2874,1973-09-26
1971,R****** Cavalcanti,243.***.***-**,f***************@example.com,8571,1973-08-27
2002,M**** Cunha,753.***.***-**,p*******@example.com,9594,1973-07-01
2305,L*** Moreira,629.***.***-**,a**********@example.net,5778,1973-07-06
2333,P**** Brito,839.***.***-**,b*************@example.org,9931,1973-10-11
2410,S*** Lima,810.***.***-**,d************@example.com,7357,1973-05-16
2475,M**** Guerra,289.***.***-**,m************@example.com,5695,1973-09-28
2530,A**** Conceição,381.***.***-**,t********@example.com,2906,1973-12-08
2753,L**** Caldeira,590.***.***-**,a******@example.com,6422,1973-05-22
2797,S*** Câmara,634.***.***-**,n*************@example.net,3773,1973-05-16
2874,L****** Rezende,734.***.***-**,r****************@example.net,9022,1973-09-13
2978,L****** Pacheco,815.***.***-**,j******@example.net,6181,1973-03-20
3040,J*** Viana,983.***.***-**,c***************@example.net,6593,1973-07-03
3116,L**** Garcia,632.***.***-**,r*******@example.org,1867,1973-02-22
3141,V******** Souza,420.***.***-**,j****@example.net,7587,1973-07-07
3155,L****** Pires,317.***.***-**,c***************@example.net,3890,1973-03-12
3159,M***** Jesus,476.***.***-**,l*********@example.com,6413,1973-12-02
3224,E***** Fogaça,981.***.***-**,f***********@example.com,2522,1973-06-01
3234,D** Lima,716.***.***-**,h********@example.com,3499,1973-09-18
3249,A** Luz,419.***.***-**,l**********@example.com,0754,1973-06-25
3448,I**** Machado,537.***.***-**,g*********@example.net,0420,1973-04-29
3520,A****** Cirino,169.***.***-**,c******@example.com,8452,1973-02-02
3545,C***** Moreira,287.***.***-**,e**************@example.net,1279,1973-09-30
3592,A** Gonçalves,301.***.***-**,a******************@example.com,1804,1973-08-16
3603,G******** Silveira,741.***.***-**,e*******@example.org,1993,1973-08-02
3610,S*** Correia,671.***.***-**,j***********@example.net,4114,1973-04-23
3636,S***** Peixoto,810.***.***-**,m****@example.org,2425,1973-07-20
3687,S** Mendes,125.***.***-**,g******@example.org,6884,1973-11-03
3692,L****** Silva,934.***.***-**,m************@example.net,8538,1973-03-30
3693,O*** Pereira,526.***.***-**,j**********@example.com,7853,1973-06-18
