id,nome,cpf,email,telefone,data_nascimento
25,B**** Mata,891.***.***-**,v************@example.net,9999,1999-11-09
35,I****** Camargo,209.***.***-**,d*****@example.net,2781,1999-03-27
109,E***** Abreu,187.***.***-**,l**************@example.net,9682,1999-01-10
115,A****** Pereira,298.***.***-**,t*****@example.com,9747,1999-07-18
216,O***** Vieira,103.***.***-**,u*********@example.com,8850,1999-01-06
278,J*** Nogueira,801.***.***-**,n**********@example.org,3081,1999-03-04
318,D** Macedo,758.***.***-**,m************@example.net,3230,1999-09-26
346,S** Rodrigues,412.***.***-**,a**********@example.net,7491,1999-07-29
368,S**** Borges,146.***.***-**,c**************@example.org,1325,1999-01-28
458,A** Farias,045.***.***-**,y*******@example.com,2176,1999-12-05
469,E******** Grande,158.***.***-**,g********@example.net,7612,1999-12-21
544,G******** Costela,743.***.***-**,s************@example.com,5927,1999-11-15
595,S***** Jesus,928.***.***-**,v*************@example.org,0049,1999-04-11
679,R*** Rocha,746.***.***-**,h********@example.com,5080,1999-12-04
709,S****** Porto,460.***.***-**,c******@example.org,1374,1999-06-15
849,S******* Câmara,957.***.***-**,n*****@example.org,5052,1999-08-03
873,D****** Macedo,207.***.***-**,d**********@example.net,6876,1999-07-29
932,S**** Barros,710.***.***-**,l******@example.org,5694,1999-03-27
935,M**** Ramos,620.***.***-**,u*****@example.net,2469,1999-04-15
951,E*** Duarte,183.***.***-**,u******@example.com,6850,1999-11-12
979,F******* Cardoso,925.***.***-**,a*******@example.org,6557,1999-11-27
1013,S** Souza,901.***.***-**,m***********@example.net,3416,1999-01-29
1052,L*** Andrade,362.***.***-**,f****************@example.net,5691,1999-09-06
1072,A***** Moreira,841.***.***-**,m*******************@example.org,9644,1999-12-16
1084,S*** Silveira,751.***.***-**,l******@example.org,1018,1999-05-27
1092,M***** Pereira,652.***.***-**,s******@example.com,7455,1999-08-01
1106,V****** Guerra,739.***.***-**,a*******@example.net,6463,1999-11-10
1199,L*** Peixoto,971.***.***-**,b*******@example.org,7208,1999-06-08
1254,D** Rocha,708.***.***-**,t***********@example.com,8969,1999-02-07
1301,B****** Borges,305.***.***-**,h*******@example.org,6668,1999-09-17
1394,V******* Rios,432.***.***-**,z**********@example.net,9200,1999-03-29
1417,F***** Barros,715.***.***-**,n***********@example.com,4886,1999-04-09
1418,V******* Martins,786.***.***-**,d********************@example.org,6232,1999-12-11
1451,J*** Paz,349.***.***-**,b****************@example.com,3572,1999-03-26
1454,M**** Marques,395.***.***-**,f*************@example.net,2788,1999-07-18
1472,S***** Borges,961.***.***-**,e*******@example.com,7568,1999-02-14
1501,A****** Cirino,706.***.***-**,z*****@example.org,6187,1999-08-05
1726,B**** Farias,409.***.***-**,d*************@example.org,5903,1999-12-16
1728,C*** Guerra,750.***.***-**,a********@example.org,0255,1999-09-22
1881,K**** Souza,318.***.***-**,r******@example.net,2225,1999-12-23
2094,Á***** Nunes,597.***.***-**,h*******@example.org,2784,1999-07-01
2136,J*** Neves,135.***.***-**,d******@example.net,3759,1999-06-13
2309,A****** Sousa,678.***.***-**,r*********@example.net,5503,1999-04-22
2378,L*** Paz,406.***.***-**,a******************@example.org,3387,1999-04-03
2456,C***** Jesus,496.***.***-**,l**********@example.net,9011,1999-07-18
2459,A****** Monteiro,038.***.***-**,g*********@example.com,6100,1999-06-17
2485,M**** Borges,918.***.***-**,a****@example.org,6421,1999-09-09
2514,J*** Moreira,132.***.***-**,f***********@example.net,4619,1999-10-28
2648,J*** Pimenta,172.***.***-**,f****@example.net,3940,1999-07-04
2746,F******* Melo,415.***.***-**,u****@example.com,1541,1999-02-28
2835,L**** Ferreira,510.***.***-**,y*****@example.com,5105,1999-12-18
2883,A***** Abreu,501.***.***-**,c******@example.net,9846,1999-09-04
2967,S*** Rosa,376.***.***-**,d****@example.org,8838,1999-08-26
3100,M*** Cardoso,568.***.***-**,q*******@example.net,0323,1999-10-03
3150,M***** Moura,617.***.***-**,l*********@example.com,0127,1999-10-06
3216,N***** Câmara,862.***.***-**,o*******@example.org,4277,1999-10-04
3232,A** Vargas,952.***.***-**,j******@example.com,5898,1999-03-28
3286,J****** Montenegro,421.***.***-**,j********@example.com,0709,1999-04-02
3316,S****** Azevedo,291.***.***-**,a*******@example.org,7736,1999-03-21
3332,I****** Brito,126.***.***-**,l*******************@example.net,2745,1999-10-22
3356,M**** Pereira,932.***.***-**,v********@example.org,0119,1999-07-06
3512,L**** Sales,921.***.***-**,j*****@example.com,1132,1999-10-25
3719,L*** Barbosa,138.***.***-**,b******@example.net,0398,1999-04-03
3740,S** Leão,695.***.***-**,h*******@example.net,0345,1999-01-11
3825,R**** Gomes,340.***.***-**,o*****@example.com,0721,1999-05-22
