id,nome,cpf,email,telefone,data_nascimento
237,L**** Teixeira,230.***.***-**,m********@example.org,7790,2010-06-07
256,N****** Marques,821.***.***-**,m**********@example.net,4562,2010-07-30
312,E***** Guerra,563.***.***-**,f*******************@example.org,2580,2010-10-10
316,Y*** Santos,068.***.***-**,a***********@example.com,5546,2010-11-03
366,I****** Novais,916.***.***-**,c*****************@example.com,1775,2010-03-25
516,M***** Andrade,062.***.***-**,l**************@example.org,4703,2010-08-19
555,T******* Pinto,289.***.***-**,f**********@example.com,8501,2010-12-06
676,C******* Castro,139.***.***-**,d********@example.org,7604,2010-08-26
748,D** Araújo,205.***.***-**,s*******@example.org,0063,2010-10-13
855,A** Rezende,874.***.***-**,m************@example.org,6362,2010-03-05
941,M*** Sales,597.***.***-**,v**************@example.net,5770,2010-06-01
1058,L**** Novais,697.***.***-**,b********@example.com,5344,2010-10-05
1091,O*** Mendes,148.***.***-**,s********@example.net,6981,2010-01-04
1122,I*** Nunes,092.***.***-**,y********@example.com,7041,2010-03-24
1184,H****** Rocha,345.***.***-**,c********@example.net,0798,2010-08-18
1189,D*** Almeida,698.***.***-**,j*****@example.net,5188,2010-10-02
1447,R**** Costela,789.***.***-**,j********@example.org,7138,2010-10-12
1488,S** Araújo,146.***.***-**,e******@example.org,7190,2010-07-20
1598,K***** Oliveira,452.***.***-**,k******@example.net,1986,2010-08-14
1702,R**** Cunha,703.***.***-**,e********@example.org,2675,2010-09-10
1750,A** Farias,824.***.***-**,g******************@example.com,2403,2010-08-12
1766,B******* Barbosa,513.***.***-**,f**********@example.net,7015,2010-04-16
1783,L**** Albuquerque,247.***.***-**,h*************@example.com,5424,2010-07-12
1786,D** Viana,924.***.***-**,c*********@example.net,7573,2010-03-23
1852,M**** Cunha,651.***.***-**,r**************@example.net,7025,2010-06-08
1911,L**** Vasconcelos,815.***.***-**,s******@example.net,5929,2010-03-27
2031,M**** Borges,785.***.***-**,m********@example.org,6118,2010-10-01
2134,S** Peixoto,854.***.***-**,d**********@example.net,4343,2010-09-19
2172,B**** Brito,518.***.***-**,m*******************@example.net,9799,2010-02-08
2215,M**** Oliveira,561.***.***-**,n********@example.org,1180,2010-02-22
2240,S** Carvalho,938.***.***-**,v*******@example.com,1200,2010-12-08
2269,M****** Freitas,129.***.***-**,t**************@example.net,3659,2010-09-26
2329,G****** Pacheco,265.***.***-**,a**************@example.net,9540,2010-07-15
2398,Z** Rosa,437.***.***-**,y*******@example.com,5994,2010-04-19
2476,S*** Pacheco,067.***.***-**,m***********@example.net,2625,2010-07-29
2510,D***** Pereira,541.***.***-**,b*********@example.net,9470,2010-03-18
2523,H******* Pereira,910.***.***-**,r**********@example.net,9527,2010-03-15
2552,B****** Peixoto,924.***.***-**,c*******************@example.org,8258,2010-02-21
2615,V**** Mendes,384.***.***-**,m***************@example.org,8632,2010-03-02
2642,D*** Cunha,169.***.***-**,m*************@example.org,9995,2010-03-24
2931,B***** Dias,409.***.***-**,l**************@example.org,8874,2010-11-27
2965,H**** Cavalcante,174.***.***-**,k*****@example.com,0290,2010-11-23
2983,M**** Vieira,581.***.***-**,j*******@example.org,0553,2010-06-12
2988,R*** Oliveira,954.***.***-**,f************@example.org,2788,2010-09-05
3008,C***** Gomes,547.***.***-**,m************@example.com,1060,2010-04-06
3013,T******* Martins,546.***.***-**,m***************@example.net,6413,2010-12-08
3134,A***** Correia,751.***.***-**,b******@example.com,1573,2010-11-16
3304,D*** Vasconcelos,689.***.***-**,l******@example.com,2553,2010-03-01
