id,nome,cpf,email,telefone,data_nascimento
30,B**** Rocha,416.***.***-**,b**************@example.org,4202,1989-08-09
158,L**** Borges,150.***.***-**,n*******@example.net,1335,1989-01-05
181,S*** Moura,280.***.***-**,m*******@example.org,5599,1989-10-04
193,C*** Souza,963.***.***-**,d******************@example.com,0156,1989-11-14
205,A****** Lopes,547.***.***-**,f*******************@example.org,7829,1989-12-11
252,S** Cardoso,032.***.***-**,m******@example.com,4783,1989-02-08
335,Y***** Cardoso,615.***.***-**,o********@example.org,2596,1989-07-23
385,D*** Rios,179.***.***-**,e*******@example.org,2252,1989-01-07
524,D** Mendonça,413.***.***-**,s*****@example.org,3176,1989-12-20
565,M***** Mendonça,468.***.***-**,j**********@example.net,1783,1989-04-27
691,H****** Mata,619.***.***-**,m**************@example.net,7479,1989-04-24
745,E***** Ferreira,534.***.***-**,c********@example.com,1055,1989-01-19
816,M**** Cirino,530.***.***-**,y*******@example.com,3808,1989-03-02
888,D** Vargas,243.***.***-**,c***********@example.net,6584,1989-03-31
989,P***** Oliveira,869.***.***-**,e**************@example.com,2140,1989-01-10
1115,R*** Silva,764.***.***-**,v***************@example.com,2029,1989-03-08
1155,L*** Cavalcanti,895.***.***-**,l*****@example.net,8023,1989-04-29
1218,B******* Pimenta,794.***.***-**,g*****************@example.com,6369,1989-12-22
1292,M***** Brito,540.***.***-**,l**@example.com,7285,1989-12-27
1370,S***** Camargo,157.***.***-**,d************@example.org,3924,1989-02-21
1433,S*** Cavalcante,065.***.***-**,l*******@example.net,3415,1989-10-12
1551,L***** Souza,789.***.***-**,e***********@example.com,3351,1989-06-06
1634,D*** Neves,507.***.***-**,r***************@example.net,7453,1989-01-26
1693,A***** Abreu,456.***.***-**,l*****@example.net,4013,1989-05-11
1753,S** Lopes,856.***.***-**,a**********@example.com,9089,1989-12-14
1755,A** Martins,350.***.***-**,a**********@example.org,3828,1989-10-09
1865,L*** Nascimento,056.***.***-**,m*******************@example.org,6788,1989-01-12
1956,B******* Nunes,208.***.***-**,a************@example.com,5421,1989-08-28
1989,M**** Luz,753.***.***-**,i*********@example.org,9307,1989-06-15
2051,J**** Monteiro,029.***.***-**,m*********@example.org,1084,1989-09-07
2091,C******* Guerra,063.***.***-**,c*************@example.org,9186,1989-08-02
2095,V**** Gonçalves,793.***.***-**,c*********@example.com,0726,1989-09-11
