id,nome,cpf,email,telefone,data_nascimento
37,E*** Farias,132.***.***-**,t**********@example.net,7393,1958-11-19
84,R****** Vieira,287.***.***-**,l*****@example.net,2199,1958-04-17
169,O***** Nogueira,352.***.***-**,n*************@example.org,1574,1958-07-03
293,G******** Lopes,834.***.***-**,h**************@example.com,3465,1958-04-27
322,I***** Alves,672.***.***-**,a**************@example.org,0274,1958-07-12
386,F******** Sampaio,364.***.***-**,d****************@example.org,6984,1958-01-21
418,M**** Nascimento,297.***.***-**,j**************@example.net,0139,1958-08-24
442,V******* Albuquerque,801.***.***-**,n*************@example.com,0191,1958-10-30
518,J*** Silveira,823.***.***-**,b*******@example.com,1658,1958-09-08
608,H****** Câmara,859.***.***-**,i****@example.net,5888,1958-07-08
616,L*** Moraes,085.***.***-**,b*****@example.org,2527,1958-07-05
637,E*** Rios,345.***.***-**,p***********@example.org,6264,1958-06-12
681,B**** Grande,406.***.***-**,w********@example.com,8842,1958-08-10
779,A******** Pereira,508.***.***-**,l*********@example.org,1304,1958-03-11
808,V******* Ferreira,289.***.***-**,f*********@example.com,7915,1958-08-10
810,J*** Viana,708.***.***-**,d********@example.com,8079,1958-09-30
870,R*** Barbosa,428.***.***-**,l****@example.com,0361,1958-09-29
890,A** Gomes,034.***.***-**,e******@example.com,2740,1958-01-14
1111,D*** Guerra,807.***.***-**,j*****@example.com,8295,1958-08-04
1121,M**** Freitas,635.***.***-**,n******************@example.org,7958,1958-04-24
1266,S*** Carvalho,421.***.***-**,e************@example.org,1247,1958-06-16
1332,D***** Cirino,518.***.***-**,m**********@example.net,2749,1958-11-12
1435,D** Pastor,126.***.***-**,j******@example.com,4811,1958-06-02
1450,D**** Novaes,618.***.***-**,u*******@example.org,4468,1958-03-06
1576,M**** Novais,549.***.***-**,j*******@example.net,5390,1958-08-18
1591,D** Martins,329.***.***-**,a*******@example.org,3494,1958-01-02
1629,P**** Luz,952.***.***-**,c********@example.org,0628,1958-06-24
1636,V******* Porto,826.***.***-**,l*************@example.com,3495,1958-05-30
1718,M****** Câmara,691.***.***-**,d****************@example.com,5054,1958-01-11
1742,Á***** Costela,013.***.***-**,b*********@example.com,0834,1958-04-26
