id,nome,cpf,email,telefone,data_nascimento
8,V****** Vargas,875.***.***-**,r*******@example.net,7298,1981-08-23
76,C******* Correia,839.***.***-**,p*********@example.org,9202,1981-01-20
88,D** Novaes,741.***.***-**,x***********@example.com,7688,1981-09-21
152,M**** Paz,581.***.***-**,b**********@example.org,7194,1981-11-07
218,M**** Garcia,514.***.***-**,a********@example.net,8417,1981-01-14
253,I***** Gonçalves,093.***.***-**,w*********@example.com,1485,1981-09-06
327,L****** Sousa,183.***.***-**,v*****************@example.org,7773,1981-11-15
373,A** Mendonça,897.***.***-**,c************@example.org,1389,1981-09-22
412,H**** Silveira,428.***.***-**,d*********************@example.com,8258,1981-03-24
550,D*** Araújo,064.***.***-**,b**************@example.com,3532,1981-07-04
619,A******** Fonseca,345.***.***-**,j********************@example.net,3159,1981-03-24
630,B**** Monteiro,035.***.***-**,n**********@example.org,2588,1981-05-16
789,I** Ferreira,532.***.***-**,n*******@example.com,6656,1981-09-26
811,M*** Cruz,795.***.***-**,m*****************@example.net,1327,1981-10-21
813,J*** Lima,982.***.***-**,d*******@example.com,0551,1981-03-05
878,B***** Farias,817.***.***-**,u*******@example.org,0158,1981-06-28
879,S** Rocha,879.***.***-**,c*********@example.net,4580,1981-09-05
971,V**** Alves,158.***.***-**,n************@example.org,3999,1981-07-09
1019,L*** Neves,730.***.***-**,c*****@example.org,0997,1981-06-25
1027,D** Sampaio,718.***.***-**,p**************@example.net,3309,1981-03-08
1045,A****** Lima,465.***.***-**,t************@example.org,1087,1981-05-18
1090,M**** Cruz,362.***.***-**,m************@example.net,0674,1981-05-13
1324,M**** Farias,025.***.***-**,e**********@example.org,3960,1981-03-30
1389,S** Cruz,043.***.***-**,d**************@example.org,6420,1981-06-05
1391,N****** Pacheco,490.***.***-**,a**************@example.com,5193,1981-02-05
1410,R***** Barbosa,750.***.***-**,d****@example.net,7516,1981-11-25
1665,C******* Sá,203.***.***-**,p*********@example.org,9831,1981-02-09
1671,C****** Campos,781.***.***-**,a********@example.net,8936,1981-01-15
1839,G******** Aragão,246.***.***-**,i*****@example.net,7568,1981-01-03
1882,J*** Campos,178.***.***-**,o******@example.org,8519,1981-11-04
1917,L*** Brito,271.***.***-**,p****************@example.net,7055,1981-05-24
2016,M****** Leão,314.***.***-**,g***********@example.org,8413,1981-03-15
2018,V******* Nascimento,073.***.***-**,l*********@example.com,9458,1981-06-08
2021,H****** Albuquerque,068.***.***-**,s*******@example.org,3699,1981-12-01
2046,L*** Grande,093.***.***-**,j************@example.net,8039,1981-09-08
2084,J**** Cardoso,390.***.***-**,a************@example.com,3320,1981-07-04
2114,O***** Mendonça,102.***.***-**,r***********@example.net,9357,1981-06-16
2248,L*** Vasconcelos,879.***.***-**,c******@example.com,3189,1981-04-19
2254,A***** Araújo,739.***.***-**,d*******@example.org,4843,1981-03-25
2324,S** Rosa,391.***.***-**,b***************@example.net,3403,1981-05-05
2399,M**** Caldeira,845.***.***-**,c***********@example.net,8140,1981-09-04
2441,D***** Rodrigues,506.***.***-**,a******@example.org,1966,1981-04-15
2451,S** Rocha,076.***.***-**,m***************@example.com,7898,1981-11-23
