id,nome,cpf,email,telefone,data_nascimento
26,A** Albuquerque,273.***.***-**,e**********@example.net,2197,2002-03-03
46,E**** Rocha,230.***.***-**,r*******@example.net,5927,2002-09-29
171,S**** Mendonça,257.***.***-**,n***********@example.net,9653,2002-09-01
319,T***** Aragão,480.***.***-**,s**************@example.net,8998,2002-09-27
329,A*** Vasconcelos,629.***.***-**,p***************@example.org,1008,2002-12-09
374,N****** Fernandes,105.***.***-**,w*****@example.org,3781,2002-09-03
377,A***** Duarte,893.***.***-**,a************@example.org,6443,2002-05-25
501,T***** Oliveira,521.***.***-**,g*********@example.org,8074,2002-12-05
509,M**** Almeida,451.***.***-**,p*********@example.org,2699,2002-09-29
514,P**** Caldeira,679.***.***-**,i*****@example.org,4180,2002-04-27
575,L**** Ferreira,750.***.***-**,m***********@example.org,4667,2002-09-28
593,O***** Oliveira,130.***.***-**,n*******@example.org,0924,2002-08-05
653,B**** Nunes,275.***.***-**,l********************@example.net,3665,2002-09-23
743,N*** Pimenta,028.***.***-**,b**********@example.com,7382,2002-12-05
769,B******* Fernandes,073.***.***-**,m******@example.com,5762,2002-06-09
866,D** Nascimento,516.***.***-**,m********@example.com,9733,2002-10-05
992,D***** Andrade,647.***.***-**,z******@example.org,6799,2002-10-18
1014,P**** Ferreira,837.***.***-**,c*********@example.org,9021,2002-05-10
1085,S*** Sampaio,803.***.***-**,v**************@example.com,8140,2002-12-02
1225,S** Oliveira,201.***.***-**,c*****@example.net,1035,2002-09-04
1384,V******* Costa,809.***.***-**,a*********@example.org,7063,2002-01-01
1408,Z** Correia,612.***.***-**,o********@example.net,1950,2002-05-03
1431,A** Rios,359.***.***-**,o*************@example.com,1107,2002-10-26
1520,J*** Carvalho,012.***.***-**,d**********@example.org,7734,2002-06-24
1571,G******* Moura,041.***.***-**,l**********@example.net,1419,2002-11-17
1621,I*** Novaes,065.***.***-**,r********@example.com,2769,2002-01-22
1715,L****** Ribeiro,035.***.***-**,b********@example.net,2296,2002-12-01
1780,D** Martins,961.***.***-**,a***********@example.net,1172,2002-05-24
1904,B******* Nascimento,693.***.***-**,e*******@example.net,3179,2002-09-14
1952,L**** Pires,831.***.***-**,j******@example.net,5670,2002-01-04
1954,B**** Cunha,791.***.***-**,b*********@example.org,5302,2002-06-03
2022,P**** Cirino,571.***.***-**,r***********@example.org,2515,2002-12-17
2156,A** Farias,164.***.***-**,d*******@example.org,9094,2002-04-12
2182,O***** Teixeira,517.***.***-**,u********@example.net,7227,2002-08-24
2200,B****** Rodrigues,374.***.***-**,e**********@example.com,5496,2002-06-07
2214,S** Nunes,196.***.***-**,f**********@example.com,3279,2002-07-18
2391,I******* Macedo,463.***.***-**,r********@example.com,4368,2002-01-01
2565,M**** Pereira,302.***.***-**,t*******@example.com,4714,2002-10-28
2603,A***** Costa,253.***.***-**,s*****************@example.net,1942,2002-10-08
2722,Á***** Camargo,481.***.***-**,w******@example.com,5127,2002-10-05
2803,D** Farias,867.***.***-**,f***********@example.com,1466,2002-05-25
2832,D*** Mata,402.***.***-**,l******@example.org,7131,2002-06-06
2852,Í*** Pires,421.***.***-**,m*****************@example.net,7559,2002-10-10
2968,E*** Ribeiro,321.***.***-**,i*********@example.net,3186,2002-04-19
2982,F***** Costa,647.***.***-**,r*********@example.com,9886,2002-11-17
3199,S** Machado,705.***.***-**,c******************@example.com,4134,2002-05-25
3289,B**** Ramos,715.***.***-**,l**********@example.net,9742,2002-01-09
3408,P***** Marques,346.***.***-**,s*******@example.org,5642,2002-06-02
3411,A** Fernandes,647.***.***-**,v***************@example.org,1181,2002-07-22
3434,E**** Ribeiro,578.***.***-**,g***********@example.org,7949,2002-01-12
3487,Á***** Brito,465.***.***-**,b*******@example.com,0897,2002-02-22
3622,D*** Correia,246.***.***-**,a************@example.com,1185,2002-02-05
3871,J**** Nunes,127.***.***-**,d*****@example.org,4788,2002-04-30
3931,H******* Moura,057.***.***-**,m********@example.net,0134,2002-11-22
3933,G******** Castro,174.***.***-**,s*********@example.net,3432,2002-07-30
3979,T******* Lima,359.***.***-**,q*****@example.org,6598,2002-07-12
3989,M****** Moreira,945.***.***-**,c*****@example.com,5239,2002-06-29
4002,B***** Rocha,265.***.***-**,n*******@example.com,4823,2002-11-06
4050,A*** Silveira,392.***.***-**,a***************@example.org,3867,2002-03-20
4322,S*** Pinto,764.***.***-**,b********@example.org,0306,2002-08-09
4331,L*** Pires,625.***.***-**,l********@example.net,7356,2002-12-07
4391,M****** Porto,027.***.***-**,c*************@example.org,0131,2002-01-07
4426,S*** Marques,547.***.***-**,p******@example.net,2397,2002-05-22
4541,M***** Lopes,453.***.***-**,v************@example.com,7412,2002-04-23
4751,M****** Rios,673.***.***-**,c********@example.net,1128,2002-11-28
4840,S** Pastor,528.***.***-**,b******@example.com,8997,2002-08-26
4850,C****** Rios,492.***.***-**,f**********@example.net,4882,2002-07-22
4934,B**** Castro,017.***.***-**,e********@example.org,1556,2002-11-30
